artifact,category
com.jetbrains.intellij.platform:jps-model-serialization,Software Construction
sun.jndi:providerutil,Software Construction
org.apache.camel.springboot:camel-scheduler-starter,Software Construction
net.sf.jped:jped,Software Construction
org.overturetool.core.testing:framework,Software Construction
org.apache.xerces:xercesImpl,Software Construction
org.eclipse.platform:org.eclipse.egit.core,Software Construction
org.jetbrains.kotlin:plugin-api,Software Construction
net.sourceforge.jadex.jme3ext:lwjgl,Software Construction
androidx.camera:camera-view,Software Construction
io.github.alexarchambault.windows-ansi:windows-ansi,Software Construction
mobi.boilr.libdynticker:libdynticker,Software Construction
org.allenai:pdffigures2_2.11,Software Construction
com.github.petitparser:petitparser-core,Software Construction
com.oracle.oci.sdk:oci-java-sdk-addons-apache-configurator-jersey,Software Construction
org.eclipse.equinox.p2:publisher,Software Construction
org.apache.camel.springboot:camel-fastjson-starter,Software Construction
org.jetbrains.idea:util-rt,Software Construction
org.apache.camel.springboot:camel-ldap-starter,Software Construction
org.apache.camel.springboot:camel-http-starter,Software Construction
com.github.vertical-blank:scala-sql-formatter_2.12,Computing Foundations
org.hibernate.gson-jbossmodules:gson-jbossmodules,Computing Foundations
org.igniterealtime.smack:core,Computing Foundations
micro-server:micro-core,Computing Foundations
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.opennlp-model-ner-en-person,Computing Foundations
amplab:spark-indexedrdd,Computing Foundations
com.alibaba.fastsql:fastsql,Computing Foundations
io.realm:android-adapters,Computing Foundations
io.chrisdavenport:log4cats-testing_2.12,Computing Foundations
org.jboss.pressgang:pressgang-jdocbook-style,Computing Foundations
com.kncept.sp:split-proc,Computing Foundations
org.apache.karaf.cellar:org.apache.karaf.cellar.config,Computing Foundations
io.ktor:ktor-client-websockets-watchosarm32,Computing Foundations
io.ktor:ktor-server-websockets-watchosarm64,Computing Foundations
org.apache.cxf:cxf-all.osgi,Computing Foundations
psidev.psi.mi:psi25-xml,Computing Foundations
com.hadoop.gplcompression:hadoop-lzo,Computing Foundations
io.quarkus:quarkus-kubernetes-config,Computing Foundations
com.tinkerpop:gremlin,Computing Foundations
com.oracle:server-jre,Computing Foundations
com.apollographql.mockserver:apollo-mockserver-js,Computing Foundations
